"Title","ID","Owner","Created Date","Updated Date","Type","Link","more"
"西班牙皇家剧院演绎编舞大师安东尼奥·加德斯作品《血婚》","87dfc894-fcb7-423e-8ea3-29ffef6c0f8c","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-28T08:20:47Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/15,13",
"“抗疫情”原创歌曲《生命重于泰山》","8a57c193-265d-4f3a-b304-5cc8cee78977","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/44",
"2015巴登-巴登音乐节 弗雷德·霍内克与柏林爱乐携手马友友演绎大师之作","8a9a568f-0615-4ce7-8c29-8ffbf4ecc62d","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/23,12",
"首席猫玩转音符——音乐启蒙趣味课堂","8b4e75a0-5095-4c72-a37b-3ebdd72fa38d","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/31",
"安瑞娜·德姆斯金歌剧秀","8dbf0dde-615f-46ba-8bad-b52b4f1ca4ee","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-28T08:20:15Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/21",
"央华戏剧《海鸥》","8f364304-7853-474a-95dd-4e584b7851a9","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-28T08:22:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/13","赖声川+契诃夫，大师的灵魂对话"
"舞剧《大河之舞2起舞狂澜》","91b5c58f-a404-423d-80d6-ff227ab04b5c","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:55Z,2020-09-27T19:28:55Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/2,13",
"吉岛少儿合唱团《过年歌》","91f6069b-6684-4a0b-8b9e-3813af6d7cae","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/25",
"以色列爱乐乐团抗击疫情音乐会","94188947-ee94-487e-9447-8b1990cd3d91","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/5,21",
"祖宾·梅塔与维也纳爱乐","95cb6490-706f-4fa6-8b71-0f6fece8facf","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/22,12",
"柏林爱乐 2017年欧洲音乐会","97dcb077-0ab2-47d9-950b-f8908d64303e","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/7,21","柏林爱乐来到塞浦路斯帕福斯"
"经典档案：年轻的阿格里奇演奏柴可夫斯基第一钢琴协奏曲","9b1c65d4-9713-45dd-a25f-47cbd06266ff","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/10,22","1977年的她演奏柴可夫斯基和普罗科菲耶夫"
"话剧《又一个黎明》","9be30a39-3875-4e3c-96fd-970438cba698","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-28T08:23:30Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/15",
"威尔第音乐节乐团及祖宾·梅塔带来威尔第百年巨星音乐会","9dfe09d5-1c52-4d74-a2fd-acbe208542cb","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/13,21","2001年意大利威尔第音乐节特别音乐会"
"方言集锦！全国保利剧院人为武汉加油！","a1fa05ba-0df3-472a-9cf2-d9f7ddca60d8","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/41",
"法语音乐剧版音乐会《悲惨世界》","a4dbdc7a-6623-4682-9f98-a56f2d42e712","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/2,11",
"北方昆曲剧院《红楼梦·宝黛相见》","a513b946-8f71-4ea9-b33c-2ee0a6317fa6","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/2,51",
"现代湖北花鼓戏《拦花轿》","a58fce86-d128-4098-8b52-1b664f16f936","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/4,53",
