Title,Type,Link,more
夏夜弦情—古典吉他独奏、重奏音乐会,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/28,
《来吧，大家一起来！》,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/6,42",
“国宝级”表演艺术家梁谷音做客大湖之约,人物,"https://m.polyt.cn/activity/cloudTheater/detail/2,32",
2003年琉森庆典音乐会-阿巴多与琉森音乐节管弦乐团,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/20,11",
马林斯基芭蕾舞团倾情演绎巴兰钦作品《珠宝》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/8,12",马林斯基剧院完美演绎巴兰钦的三幕芭蕾舞剧。
2013年韦尔比耶音乐节——德沃夏克在韦尔比耶,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/10,21",德沃夏克的钢琴与弦乐五重奏以及第八交响曲
胡安·卡尔莫纳弗拉明戈吉他演奏,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/5,24",
哈萨克斯坦爱乐乐团祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/2,42",
中国儿艺儿童剧《宝船》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/17,
中国儿艺儿童剧《宝船》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/17,
歌剧 罗西尼《塞维利亚理发师》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/5,13",
俄罗斯女钢琴家齐伯尔斯坦钢琴音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/3,21",
“抗疫情”原创歌曲《因为爱》,文艺战疫,https://m.polyt.cn/activity/cloudTheater/detail/46,
光束在现场 |《北京人》：中国新贵族黎明前的挽歌和黎明后的新生,人物,"https://m.polyt.cn/activity/cloudTheater/detail/4,31",
舞蹈表演——霍尔斯特《行星组曲》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/14,12",芭蕾现代舞花样滑冰展现星际世界
中山音乐堂重张二十周年庆典音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/2,22",
2013年韦尔比耶音乐节,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/28,11",卡瓦科斯与王羽佳演奏勃拉姆斯奏鸣曲
首席猫玩转音符系列音乐课堂,人物,https://m.polyt.cn/activity/cloudTheater/detail/31,
中国儿艺儿童剧《宝船》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/17,
民族歌剧《尘埃落定》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/3,13",
韦尔比耶音乐节管弦乐团祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/5,41",
“维也纳森林的故事”——奥地利凯林格尔爱乐乐团,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/6,21",
纪录片：弗兰克·彼得·齐默尔曼——我与巴赫,人物,"https://m.polyt.cn/activity/cloudTheater/detail/12,31",小提琴家齐默尔曼讲述自己演奏巴赫的故事
大型原创黄梅戏《太白醉》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/2,53",
2018国家大剧院“舒伯特之夜”维也纳广播交响乐团音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/4,21",
新编历史京剧《戚继光》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/7,51",民族英雄戚继光抗击倭寇保家卫国的英雄故事
朗朗的《第三维度》,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/27,12",
著名节目主持人张悦做客大湖之约,人物,"https://m.polyt.cn/activity/cloudTheater/detail/2,31",
原创大型黄梅戏《槐花谣》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/18,
方旭导演作品 话剧《老李对爱的幻想》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/8,11",改编自老舍同名戏剧作品，经典不容错过。
歌剧 威尔第《阿依达》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/5,11",
吉岛合唱团-The Music’s Always There With You,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/26,
舞剧《大河之舞》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/2,12",
光束在现场 | 万方携手拉姆尼 新剧《你还弹吉他吗》聚焦女性成长 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/8,32",万方携手拉姆尼，聚焦女性成长。
京剧《白蛇传》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/6,51",
光束专访：周涛《情书》首秀：纸短情长，我的故事都关于你,人物,"https://m.polyt.cn/activity/cloudTheater/detail/6,33",
歌剧世界——里昂歌剧院的传统与现代,人物,"https://m.polyt.cn/activity/cloudTheater/detail/14,32",300年历史的歌剧院，传统现代结合的典范
乐心飞扬—宋飞从教20周年师生胡琴音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/3,22",
原创黄梅戏儿童剧《彩虹森林》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/2,54",
莫斯科柴可夫斯基音乐学院交响乐团2020新年音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/2,21",
首席猫玩转音符系列音乐课堂,人物,https://m.polyt.cn/activity/cloudTheater/detail/31,
章红艳·天边情歌—2020弹拨·击乐民乐金曲新年音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/2,23",
光束专访|《我，堂吉诃德》：一个伟大的故事 ，一曲理想主义的颂,人物,"https://m.polyt.cn/activity/cloudTheater/detail/5,32",
加拿大国家芭蕾舞团演绎特拉文斯基经典之作《火鸟》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/16,12",
德国波恩歌剧院送上诚挚祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/4,42",
西班牙皇家剧院演绎编舞大师安东尼奥·加德斯作品《血婚》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/15,13",
“抗疫情”原创歌曲《生命重于泰山》,文艺战疫,https://m.polyt.cn/activity/cloudTheater/detail/44,
2015巴登-巴登音乐节 弗雷德·霍内克与柏林爱乐携手马友友演绎大师之作,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/23,12",
首席猫玩转音符——音乐启蒙趣味课堂,人物,https://m.polyt.cn/activity/cloudTheater/detail/31,
安瑞娜·德姆斯金歌剧秀,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/21,
央华戏剧《海鸥》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/13,赖声川+契诃夫，大师的灵魂对话
舞剧《大河之舞2起舞狂澜》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/2,13",
吉岛少儿合唱团《过年歌》,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/25,
以色列爱乐乐团抗击疫情音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/5,21",
祖宾·梅塔与维也纳爱乐,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/22,12",
柏林爱乐 2017年欧洲音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/7,21",柏林爱乐来到塞浦路斯帕福斯
经典档案：年轻的阿格里奇演奏柴可夫斯基第一钢琴协奏曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/10,22",1977年的她演奏柴可夫斯基和普罗科菲耶夫
话剧《又一个黎明》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/15,
威尔第音乐节乐团及祖宾·梅塔带来威尔第百年巨星音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/13,21",2001年意大利威尔第音乐节特别音乐会
方言集锦！全国保利剧院人为武汉加油！,文艺战疫,https://m.polyt.cn/activity/cloudTheater/detail/41,
法语音乐剧版音乐会《悲惨世界》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/2,11",
北方昆曲剧院《红楼梦·宝黛相见》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/2,51",
现代湖北花鼓戏《拦花轿》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/4,53",
探索古典音乐杰作 - 斯特拉文斯基《春之祭》 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/9,31",钢琴家讲述经典作品《春之祭》的首演故事
中英双语儿童音乐剧《我们的糖果屋》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/6,12",讲述爱与勇敢的故事
常熟市艺术大讲堂——听何占豪讲述《梁祝》的创作之路,人物,https://m.polyt.cn/activity/cloudTheater/detail/32,
